# SPENDWISE COMPREHENSIVE CSV IMPORT EXAMPLE
# ==========================================
# This file demonstrates the full import capabilities of SpendWise.
#
# METADATA & VALIDATION RULES:
# ---------------------------
# 1. Description (String, Required): The transaction narration or remarks.
#    - Supports: Quotes, commas, line breaks (if quoted), and Unicode (₹, €, etc.).
#    - Validation: Must not be empty.
#
# 2. Debit (Number, Optional): Amount withdrawn/spent.
#    - Format: 1234.56, 1,234.56, ₹1234.56.
#    - Validation: Must be a positive number if Credit is 0 or empty.
#
# 3. Credit (Number, Optional): Amount deposited/received.
#    - Format: Same as Debit.
#    - Validation: Must be a positive number if Debit is 0 or empty.
#
# 4. Date (Date, Required): Transaction date.
#    - Supported Formats: DD-MM-YYYY, DD/MM/YYYY, YYYY-MM-DD.
#    - Validation: Invalid dates will default to the current system date.
#
# 5. Is Recurring (Boolean, Optional): Whether the transaction repeats.
#    - Values: TRUE, FALSE.
#
# 6. Tags (Array, Optional): Comma-separated tags for categorization.
#    - Example: "food, dinner, weekend".
#
# 7. Notes (String, Optional): Additional comments for the transaction.
#
# EDGE CASES TESTED:
# ------------------
# - Delimiter Detection: Uses commas as delimiters.
# - Quoting: Fields containing commas or line breaks are wrapped in double quotes.
# - Encoding: Supports UTF-8 (Unicode characters like ₹).
# - Error Handling: Rows with zero/invalid amounts or missing descriptions are skipped.

Description,Debit,Credit,Date,Is Recurring,Tags,Notes
"DIVIDEND INCOME",0.00,350.00,31-05-2026,FALSE,investment,"TCS Dividend"
"UPI/STREETFOOD/CHAAT",150.00,0.00,01-06-2026,FALSE,food,"Snacks"
"PHARMACY - MEDPLUS",890.00,0.00,02-06-2026,FALSE,medical,"First aid kit"
"UPI/PARKING/MALL",50.00,0.00,03-06-2026,FALSE,travel,"Nexus Mall"
"FRUIT VENDOR",120.00,0.00,04-06-2026,FALSE,groceries,"Mangoes"
"UPI/LAUNDRY/WASH",300.00,0.00,05-06-2026,FALSE,others,"Laundry service"
"MILK DELIVERY",1450.00,0.00,06-06-2026,TRUE,groceries,"Monthly milk bill"
"UPI/VEGETABLES/MARKET",280.00,0.00,07-06-2026,FALSE,groceries,"Fresh veggies"
"COURIER CHARGES - BLUE DART",180.00,0.00,08-06-2026,FALSE,others,"Sending documents"
"UPI/DONATION/TEMPLE",501.00,0.00,09-06-2026,FALSE,donation,"Temple donation"
"STATIONERY - PEN & PAPER",85.00,0.00,10-06-2026,FALSE,education,"Exam pens"
"UPI/MOBILE/REPAIR",1200.00,0.00,11-06-2026,FALSE,others,"Screen guard"
"BUS TICKET - REDBUS",650.00,0.00,12-06-2026,FALSE,travel,"Weekend trip"
"UPI/FRUITS/STALL",90.00,0.00,13-06-2026,FALSE,groceries,"Apples"
"TEA & SNACKS",45.00,0.00,14-06-2026,FALSE,food,"Office tea"
"UPI/AUTO/RIDE",60.00,0.00,15-06-2026,FALSE,travel,"Rickshaw to station"
"NEWSPAPER BILL",450.00,0.00,16-06-2026,TRUE,utilities,"TOI subscription"
"UPI/METRO/RECHARGE",200.00,0.00,17-06-2026,FALSE,travel,"Metro card"
"CHIPS & COLD DRINK",75.00,0.00,18-06-2026,FALSE,food,"Evening snacks"
"UPI/PANIPURI/STALL",30.00,0.00,19-06-2026,FALSE,food,"Treat"
# --- EDGE CASES & MALFORMED ROWS ---
"Row with comma, and quotes",100.00,0.00,20-06-2026,FALSE,test,"Testing commas"
"Row with \"escaped\" quotes",200.00,0.00,21-06-2026,FALSE,test,"Testing quotes"
"Row with line
break in description",300.00,0.00,22-06-2026,FALSE,test,"Testing line breaks"
"Unicode characters: ₹ € £ ¥",400.00,0.00,23-06-2026,FALSE,unicode,"Testing currency symbols"
# Invalid amount (should be skipped)
"Invalid Amount Row",abc,0.00,24-06-2026,FALSE,error,"Should fail"
# Missing date (should default to current date)
"Missing Date Row",50.00,0.00,,FALSE,date,"Should use current date"
# Zero amount (should be skipped)
"Zero Amount Row",0.00,0.00,25-06-2026,FALSE,error,"Should be skipped"
# Empty row below
,,,,,
# Missing description (should be skipped)
,100.00,0.00,26-06-2026,FALSE,error,"Missing description"
